sentiment1,sentiment2,ret_1_0,seas_1_1an,market_equity,ret_2_0,ret_3_0,ret_3_1,assets,sales,book_equity,net_income,enterprise_value,at_gr1,ca_gr1,nca_gr1,lt_gr1,at_gr3,cash_gr1a,ca_gr3,inv_gr1a,nca_gr3,rec_gr1a,lt_gr3,ppeg_gr1a,market_equity.1,yom,transcript_id,name,ticker,Report_Sent,QA_Sent
0.158951094,0.121,-0.181745112,0.132856071,58991.36844,-0.133120364,0.093498081,0.336378305,48022,22845,18214,4306,60578.36844,0.139474184,0.594109427,0.01068786,0.065045153,0.137530794,0.092207738,0.383395522,0.012577569,0.053848108,0.00687185,0.027914817,0.04445879,58991.36844,202204,778,Freeport-Mcmoran Inc.,FCX,0.177900154,0.151376568
0.135509729,0.123,-0.043066259,-0.148484841,16044.02371,0.144181294,-0.097481711,-0.056864388,41059,17552,13850,1944,23257.02371,0.120697655,-0.104987136,0.206663903,-0.060418437,-0.037619539,-0.021359507,0.250518457,0.014028593,-0.09644097,-0.006161865,-0.315648304,0.805737161,16044.02371,201907,781,Freeport-Mcmoran Inc.,FCX,0.109338983,0.154753334
0.151391229,0.142,-0.016205529,-0.080565199,35620.00346,-0.038253471,0.116644154,0.135038046,246624,135068,40113,4869,113819.0035,0.057872793,0.219865152,-0.026901112,0.073280847,0.068593935,0.089370864,0.227405211,-0.001252919,-0.015013724,-0.022260607,0.096045596,0.004714147,35620.00346,202007,783,General Motors Company,GM,0.143287739,0.155086515
0.171804935,0.165,0.269620657,0.027222179,62748.54294,0.481581596,0.479581536,0.165372923,237535,115786,39304,1693,149469.5429,0.016249032,0.076144442,-0.015698906,0.039614676,-0.01150645,0.057465216,0.028396469,-0.00491296,-0.033378646,-0.031532195,-0.002739304,0.004714147,62748.54294,202011,784,General Motors Company,GM,0.172709255,0.171184905
0.142469618,0.119,-0.1501524,0.108247355,16105.14595,-0.020210871,0.135437961,0.336048912,40943,14341,13689,231,23933.14595,0.084611513,-0.235692702,0.214999255,-0.036797695,-0.011038647,-0.056786264,-0.274489352,0.009452165,0.090349557,-0.007229563,-0.258523447,0.805737161,16105.14595,202001,785,Freeport-Mcmoran Inc.,FCX,0.12224198,0.157322255
0.203265388,0.177,0.012825603,-0.306229472,73962.06693,0.232708994,0.170848576,0.156021899,239671,115793,43341,3387,153159.0669,0.035166221,0.106895054,-0.003113325,0.048725637,0.044308982,0.039908875,0.163917095,-0.003600769,-0.015632767,-0.00183585,0.030307754,0.004714147,73962.06693,202102,787,General Motors Company,GM,0.183891311,0.213939497
0.137982921,0.142,0.116681106,-0.169077829,18759.46543,0.424476343,0.46319367,0.310305746,40219,13574,12942,-763,27118.46543,-0.020458365,-0.186622443,0.026488411,0.001636661,0.099600831,-0.030657152,-0.246749258,-0.015092369,0.225782387,-0.002113429,-0.13831561,0.055183906,18759.46543,202007,788,Freeport-Mcmoran Inc.,FCX,0.142273441,0.121160714
0.172651592,0.152,0.108695641,0.158859521,25181.47768,0.110826431,0.34210527,0.210526334,40230,13082,13134,-638,33498.47768,-0.020834347,-0.180412371,0.022221535,-0.008337273,0.086035148,-0.030922197,-0.313141979,-0.01409396,0.242206866,0.009768829,-0.146950092,0.055183906,25181.47768,202010,789,Freeport-Mcmoran Inc.,FCX,0.161853619,0.178413684
0.169966018,0.16,0.032631405,0.269620657,79024.74024,0.110589725,-0.042399719,-0.072660122,241803,139639,51669,12749,157887.7402,0.017967878,-0.055864773,0.06102454,-0.05212789,0.105936215,-0.034772108,0.172573846,0.011670658,0.074256023,0.007501975,0.021788284,-0.021845795,79024.74024,202110,791,General Motors Company,GM,0.186020679,0.165321011
0.147195529,0.165,0.094820991,0.149889603,51433.20637,0.010661512,-0.005917495,-0.09201366,23833.7,4878.9,12639.8,859.4,59797.30637,0.245080267,-0.434857826,0.38049627,0.375909572,0.551572163,-0.064320689,0.088183635,-0.000163634,0.60737861,0.005030692,0.581576302,0.001448503,51433.20637,202110,793,"Roper Technologies, Inc.",ROP,0.154531999,0.096762153
0.181853252,0.164,0.036525693,-0.022411127,86039.299,0.032196351,0.155464631,0.114747699,235194,122485,45684,6427,165492.299,0.031385258,0.079101771,0.008004182,0.018876318,0.106889054,0.021361089,0.177179099,-0.000693045,0.073272204,0.003597031,0.052387652,-0.021845795,86039.299,202105,794,General Motors Company,GM,0.210109375,0.164208542
0.149204095,0.144,0.034204435,-0.102702729,39096.67766,0.150491689,0.551903096,0.500576718,41099,13614,13561,-101,46620.67766,0.003810175,-0.033065772,0.01325316,0.005811717,0.101052857,0.003868707,-0.276143498,-0.013187669,0.261718302,0.008832332,-0.131379858,0.055183906,39096.67766,202101,795,Freeport-Mcmoran Inc.,FCX,0.14377867,0.152012629
